"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,85,"GEO","Georgia",1,"Abkhazia","GE.AB",NA,"","Avtonomiuri Respublika","Autonomous Republic","","Sokhumi"
2,85,"GEO","Georgia",2,"Ajaria","GE.AJ",NA,"","Avtonomiuri Respublika","Autonomous Republic","","Batumi"
3,85,"GEO","Georgia",3,"Guria","GE.GU",NA,"","Region","Region","","Ozurgeti"
4,85,"GEO","Georgia",4,"Imereti","GE.IM",NA,"","Region","Region","","Kutaisi"
5,85,"GEO","Georgia",5,"Kakheti","GE.KA",NA,"","Region","Region","","Telavi"
6,85,"GEO","Georgia",6,"Kvemo Kartli","GE.KK",NA,"","Region","Region","","Rustavi"
7,85,"GEO","Georgia",7,"Mtskheta-Mtianeti","GE.MM",NA,"","Region","Region","","Mtskheta"
8,85,"GEO","Georgia",8,"Racha-Lechkhumi-Kvemo Svaneti","GE.RK",NA,"","Region","Region","","Ambrolauri"
9,85,"GEO","Georgia",9,"Samegrelo-Zemo Svaneti","GE.SZ",NA,"","Region","Region","","Zugdidi"
10,85,"GEO","Georgia",10,"Samtskhe-Javakheti","GE.SJ",NA,"","Region","Region","","Akhaltsikhe"
11,85,"GEO","Georgia",11,"Shida Kartli","GE.SD",NA,"","Region","Region","","Gori"
12,85,"GEO","Georgia",12,"Tbilisi","GE.TB",NA,"","K'alak'i","Independent City","",""
