"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,130,"LTU","Lithuania",1,"Šiauliai","LT.SH",NA,"","Apskritis","County","","Šiauliai|Schaulen|Shavli"
2,130,"LTU","Lithuania",2,"Alytaus","LT.AS",NA,"","Apskritis","County","","Alytus|Olita|Alitus"
3,130,"LTU","Lithuania",3,"Kauno","LT.KS",NA,"","Apskritis","County","","Kaunas|Kowno|Kovno"
4,130,"LTU","Lithuania",4,"Klaipedos","LT.KP",NA,"","Apskritis","County","","Klaipeda|Memel"
5,130,"LTU","Lithuania",5,"Marijampoles","LT.MA",NA,"","Apskritis","County","","Marijampole|Mariampol"
6,130,"LTU","Lithuania",6,"Panevezio","LT.PA",NA,"","Apskritis","County","","Panevežys|Ponewiesch|Ponewjesh|Poneviezli"
7,130,"LTU","Lithuania",7,"Taurages","LT.TG",NA,"","Apskritis","County","","Taurage|Tauroggen"
8,130,"LTU","Lithuania",8,"Telšiai","LT.TL",NA,"","Apskritis","County","","Telšiai|Telsche|Telschi|Telshe"
9,130,"LTU","Lithuania",9,"Utenos","LT.UN",NA,"","Apskritis","County","","Utena"
10,130,"LTU","Lithuania",10,"Vilniaus","LT.VI",NA,"","Apskritis","County","","Vilnius|Wilna|Vilna|Vilnious"
